stationintlid, stationalphaid , canregcode, stationname, latdegmin, latitudecardinaldirection , londegmin, longitudecardinaldirection , stationelevation, terrainelevation, dataavailabilitycode, stationreliabilityflag
'61707',NULL,NULL,'JENOI, GM',1329,'N',1534,'W',11,11,'2','1'
'61711',NULL,NULL,'BANJUL/HALF-DIE, GM',1327,'N',1627,'W',2,1,'2','1'
'61712',NULL,NULL,'KEREWAN, GM',1329,'N',1611,'W',15,15,'2','1'
'61717',NULL,NULL,'KAUR, GM',1343,'N',1515,'W',6,6,'2','1'
'61720',NULL,NULL,'KUNTAUR, GM',1340,'N',1453,'W',NULL,NULL,'1','1'
'61721',NULL,NULL,'GEORGETOWN, GM',1332,'N',1446,'W',1,1,'2','1'
'61722',NULL,NULL,'SAPU, GM',1334,'N',1556,'W',2,2,'2','1'
'61731',NULL,NULL,'BASSE, GM',1319,'N',1413,'W',4,4,'2','1'
'61733',NULL,NULL,'FATOTO, GM',1353,'N',1324,'W',NULL,NULL,'1','1'
'61766','GGOV',NULL,'BISSAU (AEROPORT INT), GW',1153,'N',1539,'W',36,39,'2','1'
'61769',NULL,NULL,'BOLAMA, GW',1135,'N',1529,'W',20,18,'2','1'
'61770',NULL,NULL,'BISSORA, GW',1213,'N',1540,'W',NULL,NULL,'2','1'
'61781','GGBF',NULL,'BAFATA, GW',1210,'N',1440,'W',43,42,'2','1'
'61802',NULL,NULL,'KOUNDARA, GN',1234,'N',1331,'W',90,NULL,'2','1'
'61809','GULB',NULL,'LABE, GN',1119,'N',1218,'W',1026,1025,'1','1'
'61811','GUSI',NULL,'SIGUIRI, GN',1126,'N',910,'W',366,362,'2','1'
'61816','GUOK',NULL,'BOKE, GN',1056,'N',1449,'W',69,69,'2','1'
'61818','GUID',NULL,'KINDIA, GN',1003,'N',1252,'W',459,458,'2','1'
'61820',NULL,NULL,'MAMOU, GN',1022,'N',1205,'W',784,783,'1','1'
'61829','GUXN',NULL,'KANKAN, GN',1023,'N',918,'W',384,377,'2','1'
'61831',NULL,NULL,'CONAKRY, GN',958,'N',1402,'W',49,48,'2','1'
'61832','GUCY',NULL,'CONAKRY/GBESSIA',934,'N',1337,'W',26,26,'2','1'
'61833','GUFH',NULL,'FARANAH/BADALA',1002,'N',1045,'W',459,458,'2','1'
